Time,income
1973,4839.689668
1974,5712.946183
1975,6148.625044
1976,7231.924597
1977,7288.631412
1978,7439.306745
1979,7922.762841
1980,8745.604821
1981,9752.938458
1982,9873.077907
1983,10706.57485
1984,11097.10982
1985,11332.25897
1986,11704.98716
1987,13252.82964
1988,15354.49805
1989,16740.82894
1990,17207.34317
1991,17586.4766
1992,16735.0911
1993,16170.20994
1994,16017.94416
1995,16619.92658
1996,17002.69984
1997,17542.88896
1998,16794.22927
1999,17868.20003
2000,19386.44541
2001,18986.15417
2002,19536.53277
2003,22685.43054
2004,26001.66017
2005,29228.97163
2006,33132.80796
2007,36533.76305
2008,37787.35162
2009,32987.19966
2010,38679.3328
2011,42617.84126
2012,43023.42583
2013,43052.13484
2014,41604.08051
2015,35365.69402
2016,34319.79565
2017,36906.14913
2018,37836.00804
2019,37803.07732
2020,34972.78294
2021,42000.91346
